Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,B ,10.00,INE515A01019,Equity,,,,,
500148,Uflex Limited,UFLEX,Uflex Ltd,Active,B ,10.00,INE516A01017,Equity,,,,,
500149,Floatglass India Limited,FLOAI,Floatglass India Ltd,Delisted,B ,10.00,INE517A01015,Equity,,,,,
500150,Foseco India Ltd,FOSECOIND,Foseco India Ltd,Active,B ,10.00,INE519A01011,Equity,,,,,
500151,Golden Tobacco Ltd.,GOLDENTOBC,Golden Tobacco Ltd,Active,Z ,10.00,INE973A01010,Equity,,,,,
500152,"G.R. Magnets, Ltd.",GRMAG,GR Magnets Ltd,Delisted,Z ,10.00,INE523A01013,Equity,,,,,
500153,Ganesh Benzoplast Ltd.,GANESHBE,Ganesh Benzoplast Ltd,Active,T ,1.00,INE388A01029,Equity,,,,,
500154,Futuristic Offshore Services and Chemical Ltd.,FOSCL,Futuristic Offshore Services & Chemical Ltd,Suspended,XT,10.00,INE418A01016,Equity,,,,,
500155,GARDEN SILK MILLS PRIVATE LIMITED,GARDENSILK,Garden Silk Mills Ltd,Delisted,B ,10.00,INE526A01016,Equity,,,,,
500156,German Remedies Ltd.,GRMNR,German Remedies Ltd,Delisted,B ,10.00,INE382A01014,Equity,,,,,
500157,GIC Balanced Fund,GICBALN-B,GICBALN-B,Delisted,Z ,10.00,NA          ,Equity,,,,,
500158,GIC Big Value (QRT),GICBGVL-B,GICBGVL-B,Delisted,Z ,10.00,-,Equity,,,,,
500159,Metroglobal Limited,METROGLOBL,Metroglobal Ltd,Active,B ,10.00,INE085D01033,Equity,,,,,
500160,GTL Ltd,GTL,GTL Ltd,Active,B ,10.00,INE043A01012,Equity,,,,,
500161,Global Trust Bank Ltd.,GTB,Global Trust Bank Ltd,Delisted,T ,10.00,INE130A01017,Equity,,,,,
500162,Parrys  Sugar  Industries Limited,PARRYSUGAR,Parrys Sugar Industries Ltd,Delisted,B ,10.00,INE353B01021,Equity,,,,,
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,Godfrey Phillips India Ltd,Active,A ,2.00,INE260B01028,Equity,,,,,
